f(n) = 0g(n) = 0,h(n) = 15, state = 1 4 3 9 6 7 0 5 2 8
f(n) = 0g(n) = 1,h(n) = 14, state = 1 4 3 9 6 0 7 5 2 8
f(n) = 0g(n) = 1,h(n) = 14, state = 1 0 3 9 6 7 4 5 2 8
f(n) = 0g(n) = 2,h(n) = 13, state = 1 3 0 9 6 7 4 5 2 8
f(n) = 0g(n) = 3,h(n) = 12, state = 1 3 5 9 6 7 4 0 2 8
f(n) = 0g(n) = 4,h(n) = 11, state = 1 3 5 9 6 7 4 2 0 8
f(n) = 0g(n) = 5,h(n) = 10, state = 1 3 5 9 6 7 4 2 8 0
f(n) = 0g(n) = 6,h(n) = 9, state = 1 3 5 9 0 7 4 2 8 6
f(n) = 0g(n) = 5,h(n) = 12, state = 1 3 5 0 6 7 4 2 9 8
f(n) = 0g(n) = 6,h(n) = 11, state = 1 3 5 6 0 7 4 2 9 8
f(n) = 0g(n) = 8,h(n) = 12, state = 1 3 5 8 6 7 4 2 9 0
f(n) = 0g(n) = 9,h(n) = 11, state = 1 3 5 8 0 7 4 2 9 6
f(n) = 0g(n) = 7,h(n) = 12, state = 1 3 5 6 8 7 4 2 9 0
f(n) = 0g(n) = 5,h(n) = 13, state = 1 3 2 9 6 7 4 5 0 8
f(n) = 0g(n) = 6,h(n) = 12, state = 1 3 2 9 6 7 4 5 8 0
f(n) = 0g(n) = 7,h(n) = 11, state = 1 3 2 9 0 7 4 5 8 6
f(n) = 0g(n) = 4,h(n) = 13, state = 1 3 5 9 6 7 0 4 2 8
f(n) = 0g(n) = 5,h(n) = 12, state = 1 3 5 9 6 0 7 4 2 8
f(n) = 0g(n) = 6,h(n) = 13, state = 1 3 0 5 6 7 4 2 9 8
f(n) = 0g(n) = 6,h(n) = 13, state = 0 3 5 9 6 1 7 4 2 8
f(n) = 0g(n) = 9,h(n) = 13, state = 1 3 9 5 6 7 4 2 0 8
f(n) = 0g(n) = 10,h(n) = 12, state = 1 3 9 5 6 7 4 2 8 0
f(n) = 0g(n) = 11,h(n) = 11, state = 1 3 9 5 0 7 4 2 8 6
f(n) = 0g(n) = 4,h(n) = 14, state = 1 5 3 9 6 7 4 0 2 8
f(n) = 0g(n) = 5,h(n) = 13, state = 1 5 3 9 6 7 4 2 0 8
f(n) = 0g(n) = 6,h(n) = 12, state = 1 5 3 9 6 7 4 2 8 0
f(n) = 0g(n) = 7,h(n) = 11, state = 1 5 3 9 0 7 4 2 8 6
f(n) = 0g(n) = 3,h(n) = 14, state = 1 3 9 0 6 7 4 5 2 8
f(n) = 0g(n) = 4,h(n) = 13, state = 1 3 9 6 0 7 4 5 2 8
f(n) = 0g(n) = 6,h(n) = 14, state = 1 3 2 9 6 7 4 0 5 8
f(n) = 0g(n) = 7,h(n) = 13, state = 1 3 0 9 6 7 4 2 5 8
f(n) = 0g(n) = 6,h(n) = 14, state = 1 3 2 0 6 7 4 5 9 8
f(n) = 0g(n) = 7,h(n) = 13, state = 1 3 2 6 0 7 4 5 9 8
f(n) = 0g(n) = 5,h(n) = 14, state = 1 0 5 9 6 7 3 4 2 8
f(n) = 0g(n) = 7,h(n) = 14, state = 1 0 3 5 6 7 4 2 9 8
f(n) = 0g(n) = 10,h(n) = 12, state = 1 2 3 5 6 7 4 0 9 8
f(n) = 0g(n) = 11,h(n) = 11, state = 1 2 3 5 6 7 0 4 9 8
f(n) = 0g(n) = 12,h(n) = 10, state = 1 2 3 5 6 0 7 4 9 8
f(n) = 0g(n) = 13,h(n) = 11, state = 0 2 3 5 6 1 7 4 9 8
f(n) = 0g(n) = 16,h(n) = 9, state = 8 2 3 5 0 1 7 4 9 8
f(n) = 0g(n) = 17,h(n) = 10, state = 8 2 3 5 8 1 7 4 9 0
f(n) = 0g(n) = 12,h(n) = 12, state = 1 0 3 5 6 7 2 4 9 8
f(n) = 0g(n) = 15,h(n) = 12, state = 2 0 3 5 6 1 7 4 9 8
f(n) = 0g(n) = 15,h(n) = 12, state = 1 4 3 5 6 7 2 0 9 8
f(n) = 0g(n) = 18,h(n) = 12, state = 2 4 3 5 6 1 7 0 9 8
f(n) = 0g(n) = 8,h(n) = 13, state = 1 4 3 5 6 7 0 2 9 8
f(n) = 0g(n) = 9,h(n) = 12, state = 1 4 3 5 6 0 7 2 9 8
f(n) = 0g(n) = 11,h(n) = 13, state = 1 2 3 5 6 7 4 9 0 8
f(n) = 0g(n) = 12,h(n) = 12, state = 1 2 3 5 6 7 4 9 8 0
f(n) = 0g(n) = 13,h(n) = 11, state = 1 2 3 5 0 7 4 9 8 6
f(n) = 0g(n) = 11,h(n) = 13, state = 1 2 0 5 6 7 4 3 9 8
f(n) = 0g(n) = 13,h(n) = 13, state = 1 3 0 5 6 7 2 4 9 8
f(n) = 0g(n) = 14,h(n) = 12, state = 1 3 5 0 6 7 2 4 9 8
f(n) = 0g(n) = 15,h(n) = 11, state = 1 3 5 6 0 7 2 4 9 8
f(n) = 0g(n) = 15,h(n) = 11, state = 1 3 5 9 6 7 2 4 0 8
f(n) = 0g(n) = 16,h(n) = 10, state = 1 3 5 9 6 7 2 4 8 0
f(n) = 0g(n) = 17,h(n) = 9, state = 1 3 5 9 0 7 2 4 8 6
f(n) = 0g(n) = 14,h(n) = 12, state = 1 3 4 5 6 7 2 0 9 8
f(n) = 0g(n) = 17,h(n) = 12, state = 1 3 5 8 6 7 2 4 9 0
f(n) = 0g(n) = 18,h(n) = 11, state = 1 3 5 8 0 7 2 4 9 6
f(n) = 0g(n) = 16,h(n) = 12, state = 1 3 5 6 8 7 2 4 9 0
f(n) = 0g(n) = 16,h(n) = 12, state = 1 3 5 9 6 7 2 0 4 8
f(n) = 0g(n) = 13,h(n) = 13, state = 0 1 3 5 6 7 2 4 9 8
f(n) = 0g(n) = 16,h(n) = 11, state = 8 1 3 5 0 7 2 4 9 8
f(n) = 0g(n) = 17,h(n) = 12, state = 8 1 3 5 8 7 2 4 9 0
f(n) = 0g(n) = 16,h(n) = 13, state = 2 3 0 5 6 1 7 4 9 8
f(n) = 0g(n) = 17,h(n) = 12, state = 2 3 5 0 6 1 7 4 9 8
f(n) = 0g(n) = 18,h(n) = 11, state = 2 3 5 6 0 1 7 4 9 8
f(n) = 0g(n) = 18,h(n) = 11, state = 2 3 5 9 6 1 7 4 0 8
f(n) = 0g(n) = 19,h(n) = 10, state = 2 3 5 9 6 1 7 4 8 0
f(n) = 0g(n) = 20,h(n) = 9, state = 2 3 5 9 0 1 7 4 8 6
f(n) = 0g(n) = 17,h(n) = 12, state = 2 3 4 5 6 1 7 0 9 8
f(n) = 0g(n) = 20,h(n) = 12, state = 2 3 5 8 6 1 7 4 9 0
f(n) = 0g(n) = 21,h(n) = 11, state = 2 3 5 8 0 1 7 4 9 6
f(n) = 0g(n) = 19,h(n) = 12, state = 2 3 5 6 8 1 7 4 9 0
f(n) = 0g(n) = 19,h(n) = 12, state = 2 3 5 9 6 1 7 0 4 8
f(n) = 0g(n) = 20,h(n) = 11, state = 2 3 5 9 6 1 0 7 4 8
f(n) = 0g(n) = 21,h(n) = 12, state = 2 3 5 9 6 0 1 7 4 8
f(n) = 0g(n) = 22,h(n) = 11, state = 0 3 5 9 6 2 1 7 4 8
f(n) = 0g(n) = 21,h(n) = 12, state = 2 0 5 9 6 1 3 7 4 8
f(n) = 0g(n) = 24,h(n) = 12, state = 3 0 5 9 6 2 1 7 4 8
f(n) = 0g(n) = 25,h(n) = 11, state = 3 1 5 9 6 2 0 7 4 8
f(n) = 0g(n) = 25,h(n) = 12, state = 8 3 5 9 0 2 1 7 4 8
f(n) = 0g(n) = 24,h(n) = 12, state = 2 7 5 9 6 1 3 0 4 8
f(n) = 0g(n) = 25,h(n) = 11, state = 2 7 5 9 6 1 3 4 0 8
f(n) = 0g(n) = 26,h(n) = 10, state = 2 7 5 9 6 1 3 4 8 0
f(n) = 0g(n) = 27,h(n) = 9, state = 2 7 5 9 0 1 3 4 8 6
f(n) = 0g(n) = 27,h(n) = 12, state = 3 7 5 9 6 2 1 0 4 8
f(n) = 0g(n) = 28,h(n) = 11, state = 3 7 5 9 6 2 1 4 0 8
f(n) = 0g(n) = 29,h(n) = 10, state = 3 7 5 9 6 2 1 4 8 0
f(n) = 0g(n) = 30,h(n) = 9, state = 3 7 5 9 0 2 1 4 8 6
f(n) = 0g(n) = 26,h(n) = 12, state = 3 1 5 9 6 2 7 0 4 8
f(n) = 0g(n) = 27,h(n) = 11, state = 3 1 5 9 6 2 7 4 0 8
f(n) = 0g(n) = 28,h(n) = 10, state = 3 1 5 9 6 2 7 4 8 0
f(n) = 0g(n) = 29,h(n) = 9, state = 3 1 5 9 0 2 7 4 8 6
f(n) = 0g(n) = 26,h(n) = 12, state = 3 1 5 9 6 0 2 7 4 8
f(n) = 0g(n) = 26,h(n) = 12, state = 2 7 5 0 6 1 3 4 9 8
f(n) = 0g(n) = 27,h(n) = 11, state = 2 7 5 6 0 1 3 4 9 8
f(n) = 0g(n) = 29,h(n) = 12, state = 3 7 5 0 6 2 1 4 9 8
f(n) = 0g(n) = 30,h(n) = 11, state = 3 7 5 6 0 2 1 4 9 8
f(n) = 0g(n) = 28,h(n) = 12, state = 3 1 5 0 6 2 7 4 9 8
f(n) = 0g(n) = 29,h(n) = 11, state = 3 1 5 6 0 2 7 4 9 8
f(n) = 0g(n) = 29,h(n) = 12, state = 2 7 5 8 6 1 3 4 9 0
f(n) = 0g(n) = 30,h(n) = 11, state = 2 7 5 8 0 1 3 4 9 6
f(n) = 0g(n) = 28,h(n) = 12, state = 2 7 5 6 8 1 3 4 9 0
f(n) = 0g(n) = 32,h(n) = 12, state = 3 7 5 8 6 2 1 4 9 0
