f(n) = 0g(n) = 0,h(n) = 10, state = 6 3 4 7 1 2 5 0
f(n) = 0g(n) = 3,h(n) = 7, state = 0 3 4 7 1 2 5 6
f(n) = 0g(n) = 4,h(n) = 6, state = 1 3 4 7 0 2 5 6
f(n) = 0g(n) = 5,h(n) = 5, state = 1 3 4 7 2 0 5 6
f(n) = 0g(n) = 6,h(n) = 6, state = 1 0 4 7 2 3 5 6
f(n) = 0g(n) = 7,h(n) = 4, state = 1 4 0 7 2 3 5 6
f(n) = 0g(n) = 8,h(n) = 3, state = 1 4 5 7 2 3 0 6
f(n) = 0g(n) = 9,h(n) = 2, state = 1 4 5 7 2 3 6 0
f(n) = 0g(n) = 10,h(n) = 3, state = 1 4 5 0 2 3 6 7
f(n) = 0g(n) = 11,h(n) = 4, state = 1 4 0 5 2 3 6 7
f(n) = 0g(n) = 8,h(n) = 5, state = 1 4 7 0 2 3 5 6
f(n) = 0g(n) = 9,h(n) = 5, state = 1 4 5 7 2 0 3 6
f(n) = 0g(n) = 10,h(n) = 4, state = 1 0 5 7 2 4 3 6
f(n) = 0g(n) = 11,h(n) = 5, state = 1 4 5 7 0 3 6 2
f(n) = 0g(n) = 12,h(n) = 5, state = 1 4 0 7 2 3 6 5
f(n) = 0g(n) = 12,h(n) = 5, state = 1 4 6 5 2 3 0 7
f(n) = 0g(n) = 11,h(n) = 5, state = 1 4 7 5 2 3 0 6
f(n) = 0g(n) = 12,h(n) = 4, state = 1 4 7 5 2 3 6 0
f(n) = 0g(n) = 11,h(n) = 5, state = 1 5 0 7 2 4 3 6
f(n) = 0g(n) = 12,h(n) = 3, state = 1 5 3 7 2 4 0 6
f(n) = 0g(n) = 13,h(n) = 2, state = 1 5 3 7 2 4 6 0
f(n) = 0g(n) = 14,h(n) = 3, state = 1 5 3 0 2 4 6 7
f(n) = 0g(n) = 13,h(n) = 4, state = 1 5 3 7 2 0 4 6
f(n) = 0g(n) = 15,h(n) = 4, state = 1 5 0 3 2 4 6 7
f(n) = 0g(n) = 16,h(n) = 3, state = 1 0 5 3 2 4 6 7
f(n) = 0g(n) = 17,h(n) = 4, state = 0 1 5 3 2 4 6 7
f(n) = 0g(n) = 19,h(n) = 3, state = 3 1 5 0 2 4 6 7
f(n) = 0g(n) = 20,h(n) = 2, state = 3 1 5 7 2 4 6 0
f(n) = 0g(n) = 21,h(n) = 3, state = 3 1 5 7 2 4 0 6
f(n) = 0g(n) = 17,h(n) = 4, state = 1 4 5 3 2 0 6 7
f(n) = 0g(n) = 20,h(n) = 4, state = 3 1 0 5 2 4 6 7
f(n) = 0g(n) = 22,h(n) = 4, state = 3 1 5 7 2 0 4 6
f(n) = 0g(n) = 22,h(n) = 4, state = 3 1 0 7 2 4 5 6
f(n) = 0g(n) = 11,h(n) = 5, state = 0 1 5 7 2 4 3 6
f(n) = 0g(n) = 14,h(n) = 5, state = 1 0 5 7 4 3 6 2
f(n) = 0g(n) = 15,h(n) = 4, state = 1 3 5 7 4 0 6 2
f(n) = 0g(n) = 16,h(n) = 3, state = 1 3 5 7 0 4 6 2
